nohup: ignoring input
/home/nlsde/RLmodel/PR-v2/adachain/online-d/model is already exist!
=========================== finish pre train! ===========================
EP:146 reward:734.3928494653612 avg_reward:704.1378315883366 time_step146
EP:147 reward:731.1312857937206 avg_reward:703.9043144829994 time_step147
EP:148 reward:704.9406138405138 avg_reward:704.0310846627897 time_step148
EP:149 reward:693.7126547232175 avg_reward:704.1218370935509 time_step149
EP:150 reward:684.9327454931699 avg_reward:703.5378189444839 time_step150
EP:151 reward:692.2066289478372 avg_reward:703.6259156959928 time_step151
EP:152 reward:683.609120704596 avg_reward:703.4018362059486 time_step152
EP:153 reward:725.0426458463861 avg_reward:703.1072432352961 time_step153
EP:154 reward:721.6314431236051 avg_reward:703.4138685918364 time_step154
EP:155 reward:798.6144256884537 avg_reward:704.564578939642 time_step155
EP:156 reward:695.5856225647827 avg_reward:704.5981264701437 time_step156
EP:157 reward:684.9327454931699 avg_reward:704.6113627180295 time_step157
EP:158 reward:730.5607277041017 avg_reward:704.9186269122052 time_step158
EP:159 reward:789.7835855252949 avg_reward:706.2745361717559 time_step159
EP:160 reward:683.6181786499 avg_reward:706.0376870966454 time_step160
EP:161 reward:654.0072463884911 avg_reward:705.9633748625886 time_step161
EP:162 reward:734.5683445287202 avg_reward:706.3866095959352 time_step162
EP:163 reward:683.5900752308962 avg_reward:706.3001014089923 time_step163
EP:164 reward:730.4130324365159 avg_reward:706.5548255949523 time_step164
EP:165 reward:684.6374116470759 avg_reward:706.0976332281206 time_step165
EP:166 reward:684.7993897888722 avg_reward:706.1800521686605 time_step166
EP:167 reward:730.5607277041017 avg_reward:706.4357977980067 time_step167
EP:168 reward:714.7576049207275 avg_reward:706.5826106879167 time_step168
EP:169 reward:668.935173392061 avg_reward:705.3741265665844 time_step169
EP:170 reward:692.2154055123599 avg_reward:705.3739214788891 time_step170
EP:171 reward:686.8621902857591 avg_reward:705.4769473760005 time_step171
EP:172 reward:763.2940263946347 avg_reward:705.2123549320031 time_step172
EP:173 reward:654.0922892976761 avg_reward:704.6931847864322 time_step173
EP:174 reward:700.0763159297283 avg_reward:704.7728409964977 time_step174
EP:175 reward:665.3385417173051 avg_reward:704.8115346626 time_step175
EP:176 reward:735.2074314649049 avg_reward:704.6194923210467 time_step176
EP:177 reward:690.461027334774 avg_reward:704.983056624682 time_step177
EP:178 reward:683.5433909078781 avg_reward:705.2775676407841 time_step178
EP:179 reward:692.1106949232147 avg_reward:705.4331059130172 time_step179
EP:180 reward:676.589824641391 avg_reward:704.2128036578687 time_step180
EP:181 reward:743.3011827028364 avg_reward:704.8035352462589 time_step181
EP:182 reward:754.4829963274327 avg_reward:705.3506092346162 time_step182
EP:183 reward:798.5275339501629 avg_reward:705.7043218642962 time_step183
EP:184 reward:692.235914281893 avg_reward:706.0847544114129 time_step184
EP:185 reward:661.4384697941736 avg_reward:706.0845162920253 time_step185
EP:186 reward:683.6158264823171 avg_reward:705.8614495734246 time_step186
EP:187 reward:798.6144256884537 avg_reward:706.2142864116571 time_step187
EP:188 reward:721.7221094500359 avg_reward:705.8280041518045 time_step188
