nohup: ignoring input
/home/nlsde/RLmodel/PR-v2/adachain/online/model is already exist!
=========================== finish pre train! ===========================
EP:234 reward:691.4150010175696 avg_reward:724.2766245047065 time_step234
EP:235 reward:656.1132326832314 avg_reward:723.8737110427322 time_step235
EP:236 reward:696.0270730603364 avg_reward:723.873785027363 time_step236
EP:237 reward:696.4708916245567 avg_reward:723.8964329058367 time_step237
EP:238 reward:718.4516055507462 avg_reward:724.5858992203171 time_step238
EP:239 reward:715.8127930849672 avg_reward:724.5857846732933 time_step239
EP:240 reward:811.7239630204706 avg_reward:725.9243662897361 time_step240
EP:241 reward:725.0631628525798 avg_reward:725.9183829707954 time_step241
EP:242 reward:718.4785864841548 avg_reward:724.9869985167774 time_step242
EP:243 reward:663.3733751005957 avg_reward:724.3633292748731 time_step243
EP:244 reward:654.300009817107 avg_reward:723.2356561266971 time_step244
EP:245 reward:667.4655282978769 avg_reward:723.3457531259957 time_step245
EP:246 reward:656.1132326832314 avg_reward:723.4344110304678 time_step246
EP:247 reward:811.5910481593411 avg_reward:724.8646293282172 time_step247
EP:248 reward:654.2337943338746 avg_reward:724.3042584741731 time_step248
EP:249 reward:811.6536926577678 avg_reward:725.163528990309 time_step249
EP:250 reward:811.6492191047276 avg_reward:726.4785517467714 time_step250
EP:251 reward:718.4516055507462 avg_reward:726.0965122477752 time_step251
EP:252 reward:663.3733751005957 avg_reward:726.0501705105441 time_step252
EP:253 reward:707.3293076559497 avg_reward:725.4528047007229 time_step253
EP:254 reward:663.3733751005957 avg_reward:725.5440074125939 time_step254
EP:255 reward:798.5927567935556 avg_reward:726.0929131200803 time_step255
EP:256 reward:694.2038802039574 avg_reward:725.8234081583266 time_step256
EP:257 reward:723.2758294023398 avg_reward:725.6195115696494 time_step257
EP:258 reward:715.8127930849672 avg_reward:725.9757166635588 time_step258
EP:259 reward:811.7239630204706 avg_reward:725.0078479807229 time_step259
EP:260 reward:656.1132326832314 avg_reward:725.0089015782792 time_step260
EP:261 reward:696.0480780483989 avg_reward:724.5320604302754 time_step261
EP:262 reward:718.4516055507462 avg_reward:723.6003289718458 time_step262
EP:263 reward:654.2337943338746 avg_reward:723.2009579247875 time_step263
EP:264 reward:811.6536926577678 avg_reward:723.8806506160977 time_step264
EP:265 reward:811.6360583843378 avg_reward:724.5597228260634 time_step265
EP:266 reward:730.6473342694349 avg_reward:724.3104049711887 time_step266
EP:267 reward:663.3733751005957 avg_reward:724.3403902626891 time_step267
EP:268 reward:691.1830381485506 avg_reward:724.5776552003542 time_step268
EP:269 reward:694.2038802039574 avg_reward:724.8346549535847 time_step269
EP:270 reward:696.0222010869585 avg_reward:724.7974742063257 time_step270
EP:271 reward:696.449836747271 avg_reward:724.8017104006841 time_step271
EP:272 reward:718.4516055507462 avg_reward:725.3054077005104 time_step272
EP:273 reward:715.8127930849672 avg_reward:725.0260127008411 time_step273
EP:274 reward:811.7239630204706 avg_reward:725.4723706415206 time_step274
EP:275 reward:715.8010990165378 avg_reward:725.3549618592292 time_step275
EP:276 reward:811.7239630204706 avg_reward:726.0350703972941 time_step276
EP:277 reward:725.0631628525798 avg_reward:726.6816504076976 time_step277
EP:278 reward:811.6274721253735 avg_reward:727.9078742575318 time_step278
EP:279 reward:811.6492191047276 avg_reward:729.263579319467 time_step279
EP:280 reward:696.4708916245567 avg_reward:729.4497311999019 time_step280
EP:281 reward:811.6492191047276 avg_reward:730.8814759280092 time_step281
EP:282 reward:694.2038802039574 avg_reward:731.0442068831352 time_step282
EP:283 reward:723.2758294023398 avg_reward:731.219354963964 time_step283
EP:284 reward:654.2337943338746 avg_reward:731.0986516823407 time_step284
EP:285 reward:811.6536926577678 avg_reward:731.229342347683 time_step285
EP:286 reward:811.7239630204706 avg_reward:732.223281974346 time_step286
EP:287 reward:715.8010990165378 avg_reward:732.1246774131635 time_step287
EP:288 reward:811.7239630204706 avg_reward:732.9152381774627 time_step288
EP:289 reward:704.4542080126805 avg_reward:732.5227538260197 time_step289
EP:290 reward:715.8127930849672 avg_reward:732.5232837368932 time_step290
EP:291 reward:811.7239630204706 avg_reward:733.3663186116775 time_step291
EP:292 reward:656.5562349533084 avg_reward:732.7741189674822 time_step292
EP:293 reward:696.0480780483989 avg_reward:733.1490289122662 time_step293
EP:294 reward:811.6191141487182 avg_reward:733.9544272051505 time_step294
EP:295 reward:811.6360583843378 avg_reward:735.3104235707169 time_step295
EP:296 reward:730.6473342694349 avg_reward:735.7446049443236 time_step296
EP:297 reward:715.8127930849672 avg_reward:735.4656219881598 time_step297
EP:298 reward:811.7239630204706 avg_reward:737.0222444821907 time_step298
EP:299 reward:656.1132326832314 avg_reward:736.7150135788855 time_step299
EP:300 reward:811.6720067565755 avg_reward:737.5834705862923 time_step300
EP:301 reward:656.0514449368028 avg_reward:736.9858571048105 time_step301
EP:302 reward:715.8127930849672 avg_reward:736.0267454054556 time_step302
EP:303 reward:811.7239630204706 avg_reward:737.0994429555335 time_step303
EP:304 reward:715.8010990165378 avg_reward:737.0993260148492 time_step304
EP:305 reward:811.7239630204706 avg_reward:737.0993260148491 time_step305
EP:306 reward:715.8010990165378 avg_reward:737.6962046781821 time_step306
EP:307 reward:811.7239630204706 avg_reward:738.4637324185165 time_step307
EP:308 reward:715.8330145071345 avg_reward:737.635933791979 time_step308
EP:309 reward:767.0970482564451 avg_reward:737.1896646443387 time_step309
EP:310 reward:680.1922836940371 avg_reward:736.9470454011521 time_step310
EP:311 reward:715.8330145071345 avg_reward:737.4716417952176 time_step311
EP:312 reward:677.8637848554887 avg_reward:737.0922715595883 time_step312
EP:313 reward:811.6720067565755 avg_reward:738.2446286913779 time_step313
EP:314 reward:715.8299362749567 avg_reward:737.4167992825184 time_step314
EP:315 reward:811.7239630204706 avg_reward:738.5920001106836 time_step315
EP:316 reward:715.8330145071345 avg_reward:738.7901082448852 time_step316
EP:317 reward:767.0970482564451 avg_reward:738.3453063687282 time_step317
EP:318 reward:811.7239630204706 avg_reward:739.9202080555942 time_step318
EP:319 reward:656.5562349533084 avg_reward:738.3692334785499 time_step319
EP:320 reward:811.6134369317336 avg_reward:738.8998592814448 time_step320
EP:321 reward:696.4962280578382 avg_reward:737.748630420536 time_step321
EP:322 reward:715.8127930849672 avg_reward:736.7895187211809 time_step322
EP:323 reward:811.7239630204706 avg_reward:738.3411960018525 time_step323
EP:324 reward:700.8314932664213 avg_reward:737.2336004529234 time_step324
EP:325 reward:739.3465002159762 avg_reward:737.4689375242336 time_step325
EP:326 reward:715.8127930849672 avg_reward:736.5098258248786 time_step326
