nohup: ignoring input
=========================== finish pre train! ===========================
EP:116 reward:1423.4847632907647 avg_reward:1423.38563373144 time_step5800
EP:117 reward:1423.4847632907647 avg_reward:1423.4108837135323 time_step5850
EP:118 reward:1423.4847632907647 avg_reward:1423.4370688801462 time_step5900
EP:119 reward:1423.4847632907647 avg_reward:1423.46325404676 time_step5950
EP:120 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step6000
EP:121 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step6050
EP:122 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step6100
EP:123 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step6150
EP:124 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step6200
EP:125 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step6250
EP:126 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step6300
EP:127 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step6350
EP:128 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step6400
EP:129 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step6450
EP:130 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step6500
EP:131 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step6550
EP:132 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step6600
EP:133 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step6650
EP:134 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step6700
EP:135 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step6750
EP:136 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step6800
EP:137 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step6850
EP:138 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step6900
EP:139 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step6950
EP:140 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step7000
EP:141 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step7050
EP:142 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step7100
EP:143 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step7150
EP:144 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step7200
EP:145 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step7250
EP:146 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step7300
