,period,gaslimit,transactionpool,connection,position,dbreadtime,dbwritetime,tps,committime,consensus_clique_cost,delay,contracttime,queuetime,peer_message_sent,peer_message_recieved,peer_message_tps
16,5,15000000,1024 2048 3072 2048,random,9,1536.3885999999998,1296.2646,100,4997.5,4.9148918865999995,5065.861356932153,6.589536999999998,4799.5034965034965,88400.38444595732,1365.2637058988425,89765.64815185615
17,5,15000000,1024 2048 3072 2048,random,10,1081.8343333333335,9061.485833333332,100,4996,4.8239742628333335,4941.155309033281,7.770365000000011,4769.9000999001,74638.02200075865,1169.2472154212214,75807.26921617986
18,5,15000000,2048 2048 3072 2048,ring,5,637.3874999999999,1329.1028333333334,100,4999,4.954175215166667,4766.947626841244,6.498205333333326,4415.7442557442555,29420.51791307005,136.8879382782064,29557.405851348256
19,5,15000000,2048 2048 3072 2048,ring,6,685.6789999999999,1071.078,100,4998.75,4.975292945,4676.0224719101125,6.548498999999997,4546.755244755244,27063.606064873493,148.75839083697133,27212.364455710464
20,5,15000000,2048 2048 3072 2048,ring,7,870.1086666666669,890.4998333333334,100,4998,4.947822133833333,4502.906187624751,7.964932000000013,4451.0989010989015,25606.143118047483,109.61314959322597,25715.75626764071
21,5,15000000,2048 2048 3072 2048,ring,8,878.2088333333332,5177.245833333333,100,4998.6,4.8762851465,4031.080971659919,8.274503333333334,3962.2807192807195,25749.022215269088,118.42928660826033,25867.451501877345
22,5,15000000,2048 2048 3072 2048,ring,9,576.1175,1252.4385,100,4999,4.9334639356666665,4560.775947281713,10.128002666666672,4290.486513486513,26035.825806668232,109.25695866769634,26145.08276533593
23,5,15000000,2048 2048 3072 2048,ring,10,686.7404,910.4685999999999,100,4998,4.9051100294,4725.36093418259,6.852981999999991,4747.436563436563,37930.77501881114,141.69735852045463,38072.47237733159
24,5,15000000,2048 2048 3072 2048,tree,5,911.0296000000001,1044.9446,100,4997.75,4.8654046668,4385.587234042553,6.4615746666666665,4453.4785214785215,70395.34116676974,1329.3341579055864,71724.67532467532
25,5,15000000,2048 2048 3072 2048,tree,6,831.5803333333333,1038.3061666666665,100,4998.8,4.935245381166666,4431.377431906615,8.963988666666648,4191.254745254745,29289.282612471772,1511.4469341671008,30800.729546638875
26,5,15000000,2048 2048 3072 2048,tree,7,855.1175,889.4916666666667,100,4998.2,4.9372867424999995,4316.659574468085,7.71142866666668,4212.877122877123,37356.23481353664,1269.6411592773884,38625.87597281403
27,5,15000000,2048 2048 3072 2048,tree,8,485.1963333333333,1104.9681666666668,100,4998.8,4.951176417666667,4395.627486437613,6.87601466666666,4153.152847152847,64674.5492066714,333.7393010588992,65008.2885077303
28,5,15000000,2048 2048 3072 2048,tree,9,923.2220000000001,873.1089999999999,100,4998.2,4.898530835,4365.948717948718,9.391493333333345,4257.06993006993,45917.938000696624,1220.5503308951586,47138.48833159178
29,5,15000000,2048 2048 3072 2048,tree,10,536.6311666666667,882.321,100,4998.4,4.962820431666667,4533.831967213115,9.269906666666655,4364.954045954046,53268.0789156199,1786.317507628983,55054.39642324888
